
==================================================
ARCUS-X RUN START
Run ID: 2026-09-06T12:11:50
Model: MAI-Thinking-1
Total Probes: 2700
==================================================

------------------------------
EXECUTION COMPATIBILITY
Provider: azure
Model: MAI-Thinking-1
Adaptations:
- max_tokens -> max_completion_tokens
  (reason: [UNSUPPORTED_PARAMETER] provider=azure model=MAI-Thinking-1 time=2026-09-06T16:12:16.817090 status=400 code=invalid_request_error retryable=False recoverable=True feature=max_tokens: `max_tokens` is not supported; use `max_completion_tokens` instead.)
------------------------------

=== RAW STREAM ENTRY (Tokens: 170) ===
Parameters: z=78, gravity=3.0, tier=2, grid=default
Grid: 5x5
InitialState: (2, 0)
[2,2]
[3,2]
[3,1]
[3,0]
[3,4]
[3,3]
[3,2]
[2,2]
[2,3]
[1,3]
[0,3]

[GROUND TRUTH EXPECTED]:
[2,0]
[3,0]
[4,0]
[0,0]
[0,1]
[1,1]
[2,1]
[3,1]
[2,1]
[3,1]
[3,2]
[2,2]
[1,2]
[2,2]
[2,1]
[2,2]
[2,1]
[3,1]
[3,2]
[4,2]
[4,1]
[4,0]
[0,0]
[1,0]
[1,4]
[2,4]
[3,4]
[4,4]
[4,0]
[0,0]
[0,1]
[0,2]
[4,2]
[4,3]
[0,3]
[1,3]
[0,3]
[1,3]
[1,2]
[1,1]
[1,0]
[0,0]
[1,0]
[2,0]
[2,4]
[3,4]
[3,3]
[2,3]
[1,3]
[1,2]
[0,2]
[1,2]
[0,2]
[4,2]
[4,1]
[4,2]
[3,2]
[4,2]
[4,1]
[4,0]
[4,4]
[0,4]
[0,3]
[4,3]
[3,3]
[3,2]
[3,1]
[3,2]
[2,2]
[3,2]
[3,1]
[3,0]
[3,4]
[3,3]
[3,2]
[2,2]
[2,3]
[1,3]
[0,3]

==============================

=== RAW STREAM ENTRY (Tokens: 62) ===
Parameters: z=78, gravity=3.0, tier=3, grid=default
Grid: 10x9
InitialState: (5, 4)
Actions: ['east', 'north', 'south', 'east', 'south', 'west', 'north', 'west', 'east', 'west', 'south', 'east', 'north', 'east', 'north', 'north', 'east', 'south', 'east', 'south', 'north', 'north', 'north', 'west', 'south', 'east', 'north', 'south', 'west', 'north', 'east', 'east', 'east', 'east', 'north', 'east', 'east', 'south', 'north', 'east', 'north', 'north', 'west', 'east', 'south', 'south', 'west', 'west', 'west', 'west', 'east', 'west', 'east', 'east', 'north', 'east', 'west', 'north', 'east', 'west', 'north', 'west', 'south', 'south', 'south', 'west', 'north', 'north', 'east', 'west', 'south', 'north', 'north', 'east', 'north', 'west', 'west', 'east']
TransitionRules: {'north': {'dx': -1, 'dy': 0}, 'south': {'dx': 1, 'dy': 0}, 'east': {'dx': 0, 'dy': 1}, 'west': {'dx': 0, 'dy': -1}}
EnvironmentMetadata: seed=6430, tier=3, gravity=3.0, z=78, grid_key=default, model_id=MAI-Thinking-1, tier_name=coordinate_transformation, experiment_hash=d142d5456068e6f6b243377222c77fedbdfc0290b0ace8e1b2d4ef63ec81b1e6
Latency(ms): 62025.502
InputTokens: 1653
OutputTokens: 2
------------------------------
[MODEL OUTPUT]:
[EXCEPTION]

[GROUND TRUTH EXPECTED]:
[5,4]
[5,5]
[4,5]
[5,5]
[5,6]
[6,6]
[6,5]
[5,5]
[5,4]
[5,5]
[5,4]
[6,4]
[6,5]
[5,5]
[5,6]
[4,6]
[3,6]
[3,7]
[4,7]
[4,8]
[5,8]
[4,8]
[3,8]
[2,8]
[2,7]
[3,7]
[3,8]
[2,8]
[3,8]
[3,7]
[2,7]
[2,8]
[2,0]
[2,1]
[2,2]
[1,2]
[1,3]
[1,4]
[2,4]
[1,4]
[1,5]
[0,5]
[9,5]
[9,4]
[9,5]
[0,5]
[1,5]
[1,4]
[1,3]
[1,2]
[1,1]
[1,2]
[1,1]
[1,2]
[1,3]
[0,3]
[0,4]
[0,3]
[9,3]
[9,4]
[9,3]
[8,3]
[8,2]
[9,2]
[0,2]
[1,2]
[1,1]
[0,1]
[9,1]
[9,2]
[9,1]
[0,1]
[9,1]
[8,1]
[8,2]
[7,2]
[7,1]
[7,0]
[7,1]

==============================

=== RAW STREAM ENTRY (Tokens: 170) ===
Parameters: z=78, gravity=3.0, tier=0, grid=default
Grid: 10x6
InitialState: (8, 3)
Actions: ['south', 'north', 'south', 'east', 'east', 'west', 'west', 'east', 'east', 'south', 'north', 'south', 'east', 'west', 'north', 'south', 'east', 'east', 'south', 'east', 'west', 'east', 'east', 'south', 'west', 'east', 'north', 'south', 'west', 'east', 'west', 'west', 'north', 'east', 'west', 'west', 'west', 'north', 'east', 'north', 'west', 'south', 'east', 'east', 'east', 'west', 'west', 'south', 'east', 'south', 'west', 'east', 'south', 'south', 'west', 'east', 'south', 'south', 'west', 'south', 'east', 'north', 'west', 'west', 'south', 'west', 'south', 'south', 'south', 'west', 'east', 'south', 'east', 'north', 'west', 'east', 'west', 'north']
TransitionRules: {'north': {'dx': 0, 'dy': 1}, 'south': {'dx': 0, 'dy': -1}, 'east': {'dx': 1, 'dy': 0}, 'west': {'dx': -1, 'dy': 0}}
EnvironmentMetadata: seed=6430, tier=0, gravity=3.0, z=78, grid_key=default, model_id=MAI-Thinking-1, tier_name=baseline, experiment_hash=4bbfff86a673f8236741a40fb1e710aa6bb94a86f6800a32355a20fab7b074e1
Latency(ms): 43111.647
InputTokens: 2176
OutputTokens: 2730
------------------------------
[MODEL OUTPUT]:
[8,3]
[8,2]
[8,3]
[8,2]
[9,2]
[0,2]
[9,2]
[8,2]
[9,2]
[0,2]
[0,1]
[0,2]
[0,1]
[1,1]
[0,1]
[0,2]
[0,1]
[1,1]
[2,1]
[2,0]
[3,0]
[2,0]
[3,0]
[4,0]
[4,5]
[3,5]
[4,5]
[4,0]
[4,5]
[3,5]
[4,5]
[3,5]
[2,5]
[2,0]
[3,0]
[2,0]
[1,0]
[0,0]
[0,1]
[1,1]
[1,2]
[0,2]
[0,1]
[1,1]
[2,1]
[3,1]
[2,1]
[1,1]
[1,0]
[2,0]
[2,5]
[1,5]
[2,5]
[2,4]
[2,3]
[1,3]
[2,3]
[2,2]
[2,1]
[1,1]
[1,0]
[2,0]
[2,1]
[1,1]
[0,1]
[0,0]
[9,0]
[9,5]
[9,4]
[9,3]
[8,3]
[9,3]
[9,2]
[0,2]
[0,3]
[9,3]
[0,3]
[9,3]
[9,4]

[GROUND TRUTH EXPECTED]:
[8,3]
[8,2]
[8,3]
[8,2]
[9,2]
[0,2]
[9,2]
[8,2]
[9,2]
[0,2]
[0,1]
[0,2]
[0,1]
[1,1]
[0,1]
[0,2]
[0,1]
[1,1]
[2,1]
[2,0]
[3,0]
[2,0]
[3,0]
[4,0]
[4,5]
[3,5]
[4,5]
[4,0]
[4,5]
[3,5]
[4,5]
[3,5]
[2,5]
[2,0]
[3,0]
[2,0]
[1,0]
[0,0]
[0,1]
[1,1]
[1,2]
[0,2]
[0,1]
[1,1]
[2,1]
[3,1]
[2,1]
[1,1]
[1,0]
[2,0]
[2,5]
[1,5]
[2,5]
[2,4]
[2,3]
[1,3]
[2,3]
[2,2]
[2,1]
[1,1]
[1,0]
[2,0]
[2,1]
[1,1]
[0,1]
[0,0]
[9,0]
[9,5]
[9,4]
[9,3]
[8,3]
[9,3]
[9,2]
[0,2]
[0,3]
[9,3]
[0,3]
[9,3]
[9,4]

==============================

=== RAW STREAM ENTRY (Tokens: 171) ===
Parameters: z=78, gravity=3.0, tier=1, grid=default
Grid: 12x11
InitialState: (8, 8)
Actions: ['south', 'west', 'north', 'east', 'south', 'north', 'south', 'west', 'south', 'east', 'north', 'west', 'north', 'north', 'north', 'west', 'south', 'east', 'east', 'north', 'west', 'north', 'west', 'south', 'south', 'east', 'west', 'east', 'west', 'east', 'west', 'west', 'north', 'east', 'north', 'north', 'east', 'north', 'west', 'west', 'north', 'east', 'south', 'west', 'north', 'north', 'west', 'west', 'north', 'south', 'west', 'south', 'west', 'east', 'south', 'east', 'east', 'west', 'south', 'north', 'north', 'north', 'south', 'west', 'north', 'east', 'east', 'east', 'east', 'north', 'south', 'east', 'north', 'north', 'east', 'north', 'north', 'north']
TransitionRules: {'north': {'dx': 0, 'dy': 1}, 'south': {'dx': 0, 'dy': -1}, 'east': {'dx': 1, 'dy': 0}, 'west': {'dx': -1, 'dy': 0}}
EnvironmentMetadata: seed=6430, tier=1, gravity=3.0, z=78, grid_key=default, model_id=MAI-Thinking-1, tier_name=semantic_disruption, experiment_hash=fc74f7cb4871849ac75a50e6fc444751424bee2904dd6f2e4118e61a6dfcd19f
Latency(ms): 41621.174
InputTokens: 2540
OutputTokens: 2862
------------------------------
[MODEL OUTPUT]:
[8,8]
[8,7]
[7,7]
[7,8]
[8,8]
[8,7]
[8,8]
[8,7]
[7,7]
[7,6]
[8,6]
[8,7]
[7,7]
[7,8]
[7,9]
[7,10]
[6,10]
[6,9]
[7,9]
[8,9]
[8,10]
[7,10]
[7,0]
[6,0]
[6,10]
[6,9]
[7,9]
[6,9]
[7,9]
[6,9]
[7,9]
[6,9]
[5,9]
[5,10]
[6,10]
[6,0]
[6,1]
[7,1]
[7,2]
[6,2]
[5,2]
[5,3]
[6,3]
[6,2]
[5,2]
[5,3]
[5,4]
[4,4]
[3,4]
[3,5]
[3,4]
[2,4]
[2,3]
[1,3]
[2,3]
[2,2]
[3,2]
[4,2]
[3,2]
[3,1]
[3,2]
[3,3]
[3,4]
[3,3]
[2,3]
[2,4]
[3,4]
[4,4]
[5,4]
[6,4]
[6,5]
[6,4]
[7,4]
[7,5]
[7,6]
[8,6]
[8,7]
[8,8]
[8,9]

[GROUND TRUTH EXPECTED]:
[8,8]
[8,7]
[7,7]
[7,8]
[8,8]
[8,7]
[8,8]
[8,7]
[7,7]
[7,6]
[8,6]
[8,7]
[7,7]
[7,8]
[7,9]
[7,10]
[6,10]
[6,9]
[7,9]
[8,9]
[8,10]
[7,10]
[7,0]
[6,0]
[6,10]
[6,9]
[7,9]
[6,9]
[7,9]
[6,9]
[7,9]
[6,9]
[5,9]
[5,10]
[6,10]
[6,0]
[6,1]
[7,1]
[7,2]
[6,2]
[5,2]
[5,3]
[6,3]
[6,2]
[5,2]
[5,3]
[5,4]
[4,4]
[3,4]
[3,5]
[3,4]
[2,4]
[2,3]
[1,3]
[2,3]
[2,2]
[3,2]
[4,2]
[3,2]
[3,1]
[3,2]
[3,3]
[3,4]
[3,3]
[2,3]
[2,4]
[3,4]
[4,4]
[5,4]
[6,4]
[6,5]
[6,4]
[7,4]
[7,5]
[7,6]
[8,6]
[8,7]
[8,8]
[8,9]

==============================

=== RAW STREAM ENTRY (Tokens: 62) ===
Parameters: z=78, gravity=3.0, tier=2, grid=default
Grid: 9x11
InitialState: (7, 5)
Actions: ['south', 'east', 'east', 'south', 'west', 'south', 'north', 'south', 'east', 'east', 'west', 'south', 'east', 'south', 'west', 'north', 'east', 'east', 'north', 'west', 'north', 'south', 'north', 'west', 'north', 'north', 'east', 'south', 'east', 'west', 'east', 'west', 'west', 'south', 'east', 'north', 'south', 'south', 'east', 'east', 'west', 'south', 'south', 'west', 'south', 'south', 'north', 'east', 'south', 'west', 'north', 'north', 'east', 'west', 'south', 'east', 'east', 'north', 'south', 'north', 'west', 'east', 'south', 'east', 'east', 'south', 'east', 'south', 'west', 'east', 'west', 'north', 'east', 'north', 'south', 'south', 'west', 'east']
TransitionRules: {'north': {'dx': 0, 'dy': -1}, 'south': {'dx': 0, 'dy': 1}, 'east': {'dx': 1, 'dy': 0}, 'west': {'dx': -1, 'dy': 0}}
EnvironmentMetadata: seed=6430, tier=2, gravity=3.0, z=78, grid_key=default, model_id=MAI-Thinking-1, tier_name=attribute_inversion, experiment_hash=f23aee5555eb492f7f30642eeb397a4ff0f1403f3bde230154efd774483cfefc
Latency(ms): 61883.088
InputTokens: 1653
OutputTokens: 2
------------------------------
[MODEL OUTPUT]:
[EXCEPTION]

[GROUND TRUTH EXPECTED]:
[7,5]
[7,6]
[8,6]
[0,6]
[0,7]
[8,7]
[8,8]
[8,7]
[8,8]
[0,8]
[1,8]
[0,8]
[0,9]
[1,9]
[1,10]
[0,10]
[0,9]
[1,9]
[2,9]
[2,8]
[1,8]
[1,7]
[1,8]
[1,7]
[0,7]
[0,6]
[0,5]
[1,5]
[1,6]
[2,6]
[1,6]
[2,6]
[1,6]
[0,6]
[0,7]
[1,7]
[1,6]
[1,7]
[1,8]
[2,8]
[3,8]
[2,8]
[2,9]
[2,10]
[1,10]
[1,0]
[1,1]
[1,0]
[2,0]
[2,1]
[1,1]
[1,0]
[1,10]
[2,10]
[1,10]
[1,0]
[2,0]
[3,0]
[3,10]
[3,0]
[3,10]
[2,10]
[3,10]
[3,0]
[4,0]
[5,0]
[5,1]
[6,1]
[6,2]
[5,2]
[6,2]
[5,2]
[5,1]
[6,1]
[6,0]
[6,1]
[6,2]
[5,2]
[6,2]

==============================

=== RAW STREAM ENTRY (Tokens: 171) ===
Parameters: z=78, gravity=3.0, tier=3, grid=default
Grid: 11x9
InitialState: (2, 0)
Actions: ['west', 'east', 'east', 'south', 'north', 'north', 'west', 'east', 'south', 'south', 'north', 'north', 'east', 'south', 'north', 'north', 'south', 'east', 'east', 'north', 'east', 'north', 'south', 'east', 'north', 'west', 'west', 'south', 'south', 'east', 'south', 'west', 'east', 'east', 'west', 'west', 'south', 'south', 'east', 'west', 'west', 'west', 'east', 'east', 'west', 'south', 'south', 'north', 'west', 'east', 'south', 'west', 'north', 'east', 'north', 'east', 'east', 'north', 'west', 'east', 'south', 'south', 'west', 'south', 'west', 'west', 'south', 'north', 'west', 'south', 'north', 'west', 'south', 'west', 'south', 'west', 'west', 'east']
TransitionRules: {'north': {'dx': -1, 'dy': 0}, 'south': {'dx': 1, 'dy': 0}, 'east': {'dx': 0, 'dy': 1}, 'west': {'dx': 0, 'dy': -1}}
EnvironmentMetadata: seed=6430, tier=3, gravity=3.0, z=78, grid_key=default, model_id=MAI-Thinking-1, tier_name=coordinate_transformation, experiment_hash=fee772597b501348cbc8ff00ecdf35f9c55743333f9fca0e8bbefef133cde2d8
Latency(ms): 32662.410
InputTokens: 2176
OutputTokens: 2237
------------------------------
[MODEL OUTPUT]:
[2,0]
[2,8]
[2,0]
[2,1]
[3,1]
[1,1]
[0,1]
[0,0]
[0,1]
[1,1]
[2,1]
[1,1]
[0,1]
[0,2]
[1,2]
[0,2]
[10,2]
[0,2]
[0,3]
[0,4]
[10,4]
[10,5]
[9,5]
[10,5]
[10,6]
[9,6]
[9,5]
[9,4]
[10,4]
[0,4]
[0,5]
[1,5]
[1,4]
[1,5]
[1,6]
[1,5]
[1,4]
[2,4]
[3,4]
[3,5]
[3,4]
[3,3]
[3,2]
[3,3]
[3,4]
[3,3]
[4,3]
[5,3]
[4,3]
[4,2]
[4,3]
[5,3]
[5,2]
[4,2]
[4,3]
[3,3]
[3,4]
[3,5]
[2,5]
[2,4]
[2,5]
[3,5]
[4,5]
[4,4]
[5,4]
[5,3]
[5,2]
[6,2]
[5,2]
[5,1]
[6,1]
[5,1]
[5,0]
[6,0]
[6,8]
[7,8]
[7,7]
[7,6]
[7,7]

[GROUND TRUTH EXPECTED]:
[2,0]
[2,8]
[2,0]
[2,1]
[3,1]
[2,1]
[1,1]
[1,0]
[1,1]
[2,1]
[3,1]
[2,1]
[1,1]
[1,2]
[2,2]
[1,2]
[0,2]
[1,2]
[1,3]
[1,4]
[0,4]
[0,5]
[10,5]
[0,5]
[0,6]
[10,6]
[10,5]
[10,4]
[0,4]
[1,4]
[1,5]
[2,5]
[2,4]
[2,5]
[2,6]
[2,5]
[2,4]
[3,4]
[4,4]
[4,5]
[4,4]
[4,3]
[4,2]
[4,3]
[4,4]
[4,3]
[5,3]
[6,3]
[5,3]
[5,2]
[5,3]
[6,3]
[6,2]
[5,2]
[5,3]
[4,3]
[4,4]
[4,5]
[3,5]
[3,4]
[3,5]
[4,5]
[5,5]
[5,4]
[6,4]
[6,3]
[6,2]
[7,2]
[6,2]
[6,1]
[7,1]
[6,1]
[6,0]
[7,0]
[7,8]
[8,8]
[8,7]
[8,6]
[8,7]

==============================

=== RAW STREAM ENTRY (Tokens: 62) ===
Parameters: z=79, gravity=3.0, tier=0, grid=default
Grid: 6x5
InitialState: (3, 1)
Actions: ['north', 'west', 'south', 'south', 'north', 'east', 'south', 'east', 'south', 'west', 'west', 'west', 'south', 'south', 'south', 'south', 'south', 'east', 'south', 'east', 'west', 'east', 'north', 'east', 'north', 'south', 'south', 'north', 'west', 'south', 'east', 'east', 'north', 'west', 'west', 'south', 'west', 'east', 'south', 'north', 'west', 'south', 'north', 'west', 'west', 'east', 'north', 'north', 'south', 'east', 'west', 'west', 'south', 'north', 'south', 'north', 'east', 'south', 'south', 'west', 'east', 'west', 'north', 'north', 'south', 'east', 'east', 'east', 'north', 'north', 'south', 'east', 'north', 'west', 'west', 'east', 'east', 'south', 'west']
TransitionRules: {'north': {'dx': 0, 'dy': 1}, 'south': {'dx': 0, 'dy': -1}, 'east': {'dx': 1, 'dy': 0}, 'west': {'dx': -1, 'dy': 0}}
EnvironmentMetadata: seed=6430, tier=0, gravity=3.0, z=79, grid_key=default, model_id=MAI-Thinking-1, tier_name=baseline, experiment_hash=caad6eba0a1b2ef600b3429c883920ebc09c841af36143f0f6d156aa0400752c
Latency(ms): 61764.602
InputTokens: 1674
OutputTokens: 2
------------------------------
[MODEL OUTPUT]:
[EXCEPTION]

[GROUND TRUTH EXPECTED]:
[3,1]
[3,2]
[2,2]
[2,1]
[2,0]
[2,1]
[3,1]
[3,0]
[4,0]
[4,4]
[3,4]
[2,4]
[1,4]
[1,3]
[1,2]
[1,1]
[1,0]
[1,4]
[2,4]
[2,3]
[3,3]
[2,3]
[3,3]
[3,4]
[4,4]
[4,0]
[4,4]
[4,3]
[4,4]
[3,4]
[3,3]
[4,3]
[5,3]
[5,4]
[4,4]
[3,4]
[3,3]
[2,3]
[3,3]
[3,2]
[3,3]
[2,3]
[2,2]
[2,3]
[1,3]
[0,3]
[1,3]
[1,4]
[1,0]
[1,4]
[2,4]
[1,4]
[0,4]
[0,3]
[0,4]
[0,3]
[0,4]
[1,4]
[1,3]
[1,2]
[0,2]
[1,2]
[0,2]
[0,3]
[0,4]
[0,3]
[1,3]
[2,3]
[3,3]
[3,4]
[3,0]
[3,4]
[4,4]
[4,0]
[3,0]
[2,0]
[3,0]
[4,0]
[4,4]
[3,4]

==============================

=== RAW STREAM ENTRY (Tokens: 62) ===
Parameters: z=79, gravity=3.0, tier=1, grid=default
Grid: 5x8
InitialState: (3, 1)
Actions: ['west', 'south', 'north', 'north', 'west', 'north', 'north', 'east', 'west', 'east', 'south', 'west', 'north', 'north', 'east', 'south', 'east', 'west', 'west', 'south', 'north', 'south', 'west', 'north', 'east', 'south', 'west', 'north', 'north', 'east', 'east', 'south', 'north', 'north', 'west', 'south', 'west', 'east', 'west', 'west', 'south', 'west', 'west', 'south', 'south', 'west', 'north', 'south', 'west', 'east', 'east', 'east', 'west', 'east', 'south', 'west', 'south', 'south', 'east', 'west', 'south', 'east', 'west', 'east', 'west', 'south', 'south', 'south', 'south', 'north', 'east', 'north', 'south', 'south', 'south', 'north', 'east', 'north', 'west']
TransitionRules: {'north': {'dx': 0, 'dy': 1}, 'south': {'dx': 0, 'dy': -1}, 'east': {'dx': 1, 'dy': 0}, 'west': {'dx': -1, 'dy': 0}}
EnvironmentMetadata: seed=6430, tier=1, gravity=3.0, z=79, grid_key=default, model_id=MAI-Thinking-1, tier_name=semantic_disruption, experiment_hash=b295d83510f48da4372b1a60884b19ef6f34373f662013510a0e504537671cef
Latency(ms): 61678.549
InputTokens: 1715
OutputTokens: 2
------------------------------
[MODEL OUTPUT]:
[EXCEPTION]

[GROUND TRUTH EXPECTED]:
[3,1]
[2,1]
[2,0]
[2,1]
[2,2]
[1,2]
[1,3]
[1,4]
[2,4]
[1,4]
[2,4]
[2,3]
[1,3]
[1,4]
[1,5]
[2,5]
[2,4]
[3,4]
[2,4]
[1,4]
[1,3]
[1,4]
[1,3]
[0,3]
[0,4]
[1,4]
[1,3]
[0,3]
[0,4]
[0,5]
[1,5]
[2,5]
[2,4]
[2,5]
[2,6]
[1,6]
[1,5]
[0,5]
[1,5]
[0,5]
[4,5]
[4,4]
[3,4]
[2,4]
[2,3]
[2,2]
[1,2]
[1,3]
[1,2]
[0,2]
[1,2]
[2,2]
[3,2]
[2,2]
[3,2]
[3,1]
[2,1]
[2,0]
[2,7]
[3,7]
[2,7]
[2,6]
[3,6]
[2,6]
[3,6]
[2,6]
[2,5]
[2,4]
[2,3]
[2,2]
[2,3]
[3,3]
[3,4]
[3,3]
[3,2]
[3,1]
[3,2]
[4,2]
[4,3]
[3,3]

==============================

=== RAW STREAM ENTRY (Tokens: 172) ===
Parameters: z=79, gravity=3.0, tier=2, grid=default
Grid: 8x9
InitialState: (2, 0)
Actions: ['west', 'south', 'west', 'south', 'east', 'east', 'west', 'north', 'north', 'south', 'north', 'south', 'east', 'west', 'north', 'east', 'north', 'south', 'west', 'north', 'west', 'north', 'east', 'west', 'south', 'north', 'west', 'west', 'west', 'north', 'west', 'east', 'north', 'east', 'east', 'north', 'south', 'north', 'north', 'east', 'west', 'east', 'east', 'east', 'north', 'east', 'west', 'west', 'east', 'north', 'south', 'north', 'east', 'north', 'north', 'west', 'east', 'west', 'east', 'north', 'west', 'west', 'west', 'east', 'south', 'south', 'west', 'west', 'east', 'west', 'north', 'north', 'west', 'east', 'east', 'east', 'west', 'south', 'west']
TransitionRules: {'north': {'dx': 0, 'dy': -1}, 'south': {'dx': 0, 'dy': 1}, 'east': {'dx': 1, 'dy': 0}, 'west': {'dx': -1, 'dy': 0}}
EnvironmentMetadata: seed=6430, tier=2, gravity=3.0, z=79, grid_key=default, model_id=MAI-Thinking-1, tier_name=attribute_inversion, experiment_hash=f1079c7f4ef201c511a164bb39493f88539285a326a7cd13a2cb3a2a87619e2b
Latency(ms): 37447.015
InputTokens: 2202
OutputTokens: 2571
------------------------------
[MODEL OUTPUT]:
[2,0]
[1,0]
[1,1]
[0,1]
[0,2]
[1,2]
[2,2]
[1,2]
[1,1]
[1,0]
[1,1]
[1,0]
[1,1]
[2,1]
[1,1]
[1,0]
[2,0]
[2,8]
[2,0]
[1,0]
[1,8]
[0,8]
[0,7]
[1,7]
[0,7]
[0,8]
[0,7]
[7,7]
[6,7]
[5,7]
[5,6]
[4,6]
[5,6]
[5,5]
[6,5]
[7,5]
[7,4]
[7,5]
[7,4]
[7,3]
[0,3]
[7,3]
[0,3]
[1,3]
[2,3]
[2,2]
[3,2]
[2,2]
[1,2]
[2,2]
[2,1]
[2,2]
[2,1]
[3,1]
[3,0]
[3,8]
[2,8]
[3,8]
[2,8]
[3,8]
[3,7]
[2,7]
[1,7]
[0,7]
[1,7]
[1,8]
[1,0]
[0,0]
[7,0]
[0,0]
[7,0]
[7,8]
[7,7]
[6,7]
[7,7]
[0,7]
[1,7]
[0,7]
[0,8]
[7,8]

[GROUND TRUTH EXPECTED]:
[2,0]
[1,0]
[1,1]
[0,1]
[0,2]
[1,2]
[2,2]
[1,2]
[1,1]
[1,0]
[1,1]
[1,0]
[1,1]
[2,1]
[1,1]
[1,0]
[2,0]
[2,8]
[2,0]
[1,0]
[1,8]
[0,8]
[0,7]
[1,7]
[0,7]
[0,8]
[0,7]
[7,7]
[6,7]
[5,7]
[5,6]
[4,6]
[5,6]
[5,5]
[6,5]
[7,5]
[7,4]
[7,5]
[7,4]
[7,3]
[0,3]
[7,3]
[0,3]
[1,3]
[2,3]
[2,2]
[3,2]
[2,2]
[1,2]
[2,2]
[2,1]
[2,2]
[2,1]
[3,1]
[3,0]
[3,8]
[2,8]
[3,8]
[2,8]
[3,8]
[3,7]
[2,7]
[1,7]
[0,7]
[1,7]
[1,8]
[1,0]
[0,0]
[7,0]
[0,0]
[7,0]
[7,8]
[7,7]
[6,7]
[7,7]
[0,7]
[1,7]
[0,7]
[0,8]
[7,8]

==============================

=== RAW STREAM ENTRY (Tokens: 62) ===
Parameters: z=79, gravity=3.0, tier=3, grid=default
Grid: 7x12
InitialState: (0, 4)
Actions: ['east', 'east', 'west', 'west', 'north', 'south', 'north', 'south', 'north', 'south', 'north', 'west', 'north', 'north', 'south', 'west', 'south', 'east', 'south', 'east', 'east', 'east', 'east', 'east', 'east', 'south', 'east', 'south', 'east', 'east', 'east', 'south', 'north', 'east', 'north', 'west', 'south', 'east', 'east', 'east', 'north', 'east', 'east', 'north', 'south', 'south', 'west', 'east', 'south', 'south', 'east', 'south', 'south', 'west', 'south', 'east', 'north', 'west', 'north', 'north', 'west', 'east', 'north', 'east', 'south', 'west', 'west', 'west', 'east', 'south', 'south', 'north', 'east', 'east', 'east', 'west', 'west', 'north', 'north']
TransitionRules: {'north': {'dx': -1, 'dy': 0}, 'south': {'dx': 1, 'dy': 0}, 'east': {'dx': 0, 'dy': 1}, 'west': {'dx': 0, 'dy': -1}}
